PN,Descrition,Host PN,CAAC,FAA,EASA,CMM,OEM,,
066-1021-01,MARKER BEACON RECEIVER/ISOLATION AMPLIFIER,,I/R/M,,,006-00044-0002,BENDIX/KING,,
066-1062-00,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,,
066-1062-02,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,,
066-1062-10,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,,
066-1064-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,,
066-1068-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,,
066-1068-04,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,,
066-1088-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,,
066-1088-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,,
066-3054-00,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,,
066-3054-01,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,,
066-3054-03,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,,
066-3054-04,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,,
066-1069-00,DME INDICATOR,,I/R/M,,,006-05176-0003,BENDIX/KING,,
066-1069-04,DME INDICATOR,,I/R/M,,,006-05176-0003,BENDIX/KING,,
069-1024-00,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-01,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-02,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-03,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-04,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-05,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-06,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-07,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-08,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-09,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-10,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-11,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-12,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-13,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-14,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-15,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-16,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-17,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-18,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-19,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-20,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-30,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
069-1024-31,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,,
